Date,Value,Anomaly
200212,1.60,-0.56
200301,0.60,-1.60
200302,1.15,-0.76
200303,1.89,-0.43
200304,2.41,-0.79
200305,4.64,0.91
200306,2.26,-1.04
200307,1.76,-1.58
200308,3.49,0.14
200309,3.95,0.78
200310,2.43,-0.29
200311,3.24,0.67
200312,2.53,0.37
200401,1.57,-0.63
200402,0.61,-1.30
200403,3.38,1.06
200404,0.70,-2.50
200405,7.71,3.98
200406,3.09,-0.21
200407,4.08,0.74
200408,4.72,1.37
200409,1.00,-2.17
200410,2.22,-0.50
200411,3.12,0.55
200412,2.74,0.58
200501,3.24,1.04
200502,2.83,0.92
200503,0.86,-1.46
200504,2.13,-1.07
200505,1.49,-2.24
200506,2.19,-1.11
200507,4.89,1.55
200508,1.61,-1.74
200509,2.54,-0.63
200510,0.36,-2.36
200511,4.26,1.69
200512,2.45,0.29
200601,3.27,1.07
200602,2.69,0.78
200603,2.61,0.29
200604,2.69,-0.51
200605,5.01,1.28
200606,3.27,-0.03
200607,3.97,0.63
200608,2.63,-0.72
200609,2.99,-0.18
200610,4.61,1.89
200611,2.82,0.25
200612,3.50,1.34
200701,3.59,1.39
200702,0.57,-1.34
200703,3.00,0.68
200704,2.82,-0.38
200705,2.94,-0.79
200706,2.41,-0.89
200707,1.98,-1.36
200708,6.21,2.86
200709,1.38,-1.79
200710,2.34,-0.38
200711,1.92,-0.65
200712,3.26,1.10
200801,2.59,0.39
200802,3.52,1.61
200803,2.77,0.45
200804,1.26,-1.94
200805,2.28,-1.45
200806,5.58,2.28
200807,3.24,-0.10
200808,0.68,-2.67
200809,5.45,2.28
200810,1.33,-1.39
200811,3.11,0.54
200812,4.00,1.84
200901,1.15,-1.05
200902,2.39,0.48
200903,4.11,1.79
200904,4.87,1.67
200905,2.90,-0.83
200906,4.79,1.49
200907,2.27,-1.07
200908,3.56,0.21
200909,1.66,-1.51
200910,3.54,0.82
200911,0.62,-1.95
200912,2.73,0.57
201001,0.78,-1.42
201002,1.44,-0.47
201003,1.39,-0.93
201004,2.41,-0.79
201005,5.66,1.93
201006,5.13,1.83
201007,5.48,2.14
201008,0.81,-2.54
201009,3.10,-0.07
201010,1.49,-1.23
201011,3.32,0.75
201012,1.19,-0.97
201101,1.44,-0.76
201102,2.93,1.02
201103,3.72,1.40
201104,5.10,1.90
201105,6.63,2.90
201106,1.53,-1.77
201107,6.07,2.73
201108,3.23,-0.12
201109,6.43,3.26
201110,2.80,0.08
201111,5.86,3.29
201112,2.69,0.53
201201,2.63,0.43
201202,1.56,-0.35
201203,2.86,0.54
201204,2.00,-1.20
201205,2.14,-1.59
201206,1.28,-2.02
201207,3.53,0.19
201208,2.70,-0.65
201209,2.34,-0.83
201210,2.62,-0.10
201211,0.74,-1.83
201212,2.43,0.27
201301,3.39,1.19
201302,2.36,0.45
201303,0.68,-1.64
201304,5.68,2.48
201305,2.75,-0.98
201306,5.94,2.64
201307,5.88,2.54
201308,3.77,0.42
201309,1.71,-1.46
201310,2.87,0.15
201311,2.04,-0.53
201312,2.31,0.15
201401,2.31,0.11
201402,2.18,0.27
201403,1.14,-1.18
201404,2.38,-0.82
201405,4.54,0.81
201406,3.79,0.49
201407,3.12,-0.22
201408,5.94,2.59
201409,4.37,1.20
201410,2.21,-0.51
201411,1.75,-0.82
201412,1.41,-0.75
201501,1.28,-0.92
201502,1.12,-0.79
201503,0.76,-1.56
201504,2.53,-0.67
201505,5.01,1.28
201506,5.51,2.21
201507,2.02,-1.32
201508,3.60,0.25
201509,2.24,-0.93
201510,2.12,-0.60
201511,2.18,-0.39
201512,2.83,0.67
201601,1.33,-0.87
201602,1.98,0.07
201603,4.71,2.39
201604,2.29,-0.91
201605,2.28,-1.45
201606,1.70,-1.60
201607,2.69,-0.65
201608,6.17,2.82
201609,5.40,2.23
201610,3.18,0.46
201611,2.08,-0.49
201612,1.78,-0.38
201701,2.98,0.78
201702,2.02,0.11
201703,3.84,1.52
201704,3.88,0.68
201705,4.72,0.99
201706,1.87,-1.43
201707,2.41,-0.93
201708,4.20,0.85
201709,1.00,-2.17
201710,3.17,0.45
201711,4.28,1.71
201712,1.45,-0.71
201801,1.31,-0.89
201802,3.66,1.75
201803,2.15,-0.17
201804,3.65,0.45
201805,5.90,2.17
201806,2.99,-0.31
201807,2.37,-0.97
201808,2.99,-0.36
201809,5.37,2.20
201810,4.25,1.53
201811,3.31,0.74
201812,2.21,0.05
201901,1.89,-0.31
201902,1.96,0.05
201903,2.49,0.17
201904,5.16,1.96
201905,4.12,0.39
201906,3.31,0.01
201907,3.94,0.60
201908,2.82,-0.53
201909,3.39,0.22
201910,4.38,1.66
201911,1.81,-0.76
201912,2.06,-0.10
202001,3.85,1.65
