,Geography,Population,Region
137,Bangladesh,173.5,SOUTH ASIA
138,Bhutan,0.8,SOUTH ASIA
139,India,1428.6,SOUTH ASIA
140,Iran,89.2,SOUTH ASIA
141,Maldives,0.6,SOUTH ASIA
142,Nepal,30.9,SOUTH ASIA
143,Pakistan,240.5,SOUTH ASIA
144,Sri Lanka,22.7,SOUTH ASIA
146,Brunei,0.4,SOUTHEAST ASIA
147,Cambodia,17.0,SOUTHEAST ASIA
148,Indonesia,278.7,SOUTHEAST ASIA
149,Laos,7.5,SOUTHEAST ASIA
150,Malaysia,33.4,SOUTHEAST ASIA
151,Myanmar,55.4,SOUTHEAST ASIA
152,Philippines,117.3,SOUTHEAST ASIA
153,Singapore,5.8,SOUTHEAST ASIA
154,Thailand,66.0,SOUTHEAST ASIA
155,Timor Leste,1.4,SOUTHEAST ASIA
156,Vietnam,98.9,SOUTHEAST ASIA
158,China,1411.3,EAST ASIA
159,China (Hong Kong SAR),7.3,EAST ASIA
160,China (Macao SAR),0.7,EAST ASIA
161,Japan,124.5,EAST ASIA
162,Korea (North),26.2,EAST ASIA
163,Korea (South),51.4,EAST ASIA
164,Mongolia,3.5,EAST ASIA
165,Taiwan,23.4,EAST ASIA
168,Denmark,5.9,NORTHERN EUROPE
169,Estonia,1.4,NORTHERN EUROPE
170,Finland,5.6,NORTHERN EUROPE
171,Iceland,0.4,NORTHERN EUROPE
172,Ireland,5.2,NORTHERN EUROPE
173,Latvia,1.9,NORTHERN EUROPE
174,Lithuania,2.9,NORTHERN EUROPE
175,Norway,5.5,NORTHERN EUROPE
176,Sweden,10.5,NORTHERN EUROPE
177,United Kingdom,68.1,NORTHERN EUROPE
179,Austria,9.2,WESTERN EUROPE
180,Belgium,11.8,WESTERN EUROPE
181,France,65.9,WESTERN EUROPE
182,Germany,84.9,WESTERN EUROPE
183,Liechtenstein,0.0,WESTERN EUROPE
184,Luxembourg,0.7,WESTERN EUROPE
185,Monaco,0.0,WESTERN EUROPE
186,Netherlands,17.9,WESTERN EUROPE
187,Switzerland,8.8,WESTERN EUROPE
189,Belarus,9.2,EASTERN EUROPE
190,Bulgaria,6.4,EASTERN EUROPE
191,Czechia,10.9,EASTERN EUROPE
192,Hungary,9.6,EASTERN EUROPE
193,Moldova,3.4,EASTERN EUROPE
194,Poland,37.7,EASTERN EUROPE
195,Romania,19.1,EASTERN EUROPE
196,Russia,146.9,EASTERN EUROPE
197,Slovakia,5.4,EASTERN EUROPE
198,Ukraine,36.7,EASTERN EUROPE
200,Albania,2.7,SOUTHERN EUROPE
201,Andorra,0.1,SOUTHERN EUROPE
202,Bosnia Herzegovina,3.4,SOUTHERN EUROPE
203,Croatia,3.8,SOUTHERN EUROPE
204,Greece,10.6,SOUTHERN EUROPE
205,Italy,58.8,SOUTHERN EUROPE
206,Kosovo,1.7,SOUTHERN EUROPE
207,Malta,0.6,SOUTHERN EUROPE
208,Montenegro,0.6,SOUTHERN EUROPE
209,North Macedonia,1.8,SOUTHERN EUROPE
210,Portugal,10.5,SOUTHERN EUROPE
211,San Marino,0.0,SOUTHERN EUROPE
212,Serbia,6.6,SOUTHERN EUROPE
213,Slovenia,2.1,SOUTHERN EUROPE
214,Spain,48.3,SOUTHERN EUROPE
216,Australia,26.6,OCEANIA
217,Federated States of Micronesia,0.1,OCEANIA
218,Fiji,0.9,OCEANIA
219,French Polynesia,0.3,OCEANIA
220,Guam,0.2,OCEANIA
221,Kiribati,0.1,OCEANIA
222,Marshall Islands,0.1,OCEANIA
223,Nauru,0.0,OCEANIA
224,New Caledonia,0.3,OCEANIA
225,New Zealand,5.2,OCEANIA
226,Palau,0.0,OCEANIA
227,Papua New Guinea,9.5,OCEANIA
228,Samoa,0.2,OCEANIA
229,Solomon Islands,0.8,OCEANIA
230,Tonga,0.1,OCEANIA
231,Tuvalu,0.0,OCEANIA
232,Vanuatu,0.3,OCEANIA
